,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
59,"Egypt, Arab Rep.",EGY,90.24544528,90.85498782,87.9,92.06096772,92.64881609,91.9,93.77138903,94.28788013,94.77113095,95.22261779,95.9,96.02796273,96.39750308,97.8,98.90438843,99.1,98.71160353,98.28574521,99.3,99.16559961,99.48609161,99.86694523,99.84715271,100,99.8,100,100,NaN
60,El Salvador,SLV,51.50084377,43.530006,54.54598484,55.64169139,56.61876982,51.427518,53.220704,59.73865444,58.631869,56.227835,65.170985,70.068712,71.064874,71.224688,71.896139,72.174217,75.653518,79.511198,79.393669,80.329462,81.498281,83.820242,85.670994,89.999795,90.262428,90.6,98.75408363,NaN
61,Equatorial Guinea,GNQ,36.54338976,36.39850085,36.24539171,36.08778228,35.91528997,36.79435532,37.66172319,38.51016128,39.33228527,40.12356991,40.88118939,41.61274466,42.32567676,43.01603203,43.69443405,44.36782629,45.0460035,45.73766994,46.44906176,47.18047379,47.9272731,43,49.4568195,50.23331752,51.01377073,51.79440269,52.57348102,NaN
62,Eritrea,ERI,5.852079712,7.181948842,8.507366726,9.824343582,11.13258327,2.1,13.70354123,14.96211929,16.19702122,17.40610236,18.58881788,19.74851837,3,22.03185826,23.16888975,24.31261242,25.47125877,26.65122509,27.85920245,29.09339244,30.35268022,31.63364134,33.14843628,34.67321029,36.20463863,37.73939653,39.27470293,NaN
63,Estonia,EST,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
64,Ethiopia,ETH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,0.316178274,0.232356547,1.779477726,3.328514641,1.9,6.458382128,8.038465951,9.490819639,10.9688875,12.46716078,4.8,15.51644287,17.06340073,12.2,20.18473012,26.5,NaN
65,Faroe Islands,FRO,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
66,Fiji,FJI,41.79487678,43.49393325,45.22143886,46.97715409,48.75708325,50.55775899,47.38935489,54.43510439,56.5302426,58.61474342,60.68615295,62.75231035,69.43,69,69.00598984,71.14183429,73.31900434,83.12099117,76.06,80.18723162,82.59332312,85.05243679,87.56139665,85.97,92.71287152,95.3480766,98.01835318,NaN
67,Finland,FIN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
68,France,FRA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
69,French Polynesia,PYF,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
70,Gabon,GAB,12.16468494,11.67141076,11.18684791,10.72289765,10.27131338,9.944564629,9.757654148,9.712051992,9.809211547,10.04964984,29.7,10.99145363,11.74002424,12.71365675,13.94425111,34.6,17.27833309,19.45253222,22.00173208,24.92840018,28.2206442,31.88150675,44.9,37.4,44.86042348,49.78388998,54.96495052,NaN
71,"Gambia, The",GMB,1.984691306,2.663769459,3.316927246,4.023339812,4.729752378,5.454703611,6.143292169,6.792636332,7.393272177,7.940331816,18.19,8.862477516,9.2498405,9.596956081,9.932352844,8.086596625,10.61288343,10.98093361,11.37912063,11.81083367,12.27165377,12.76021627,13.27401467,12.9,14.36701261,14.94064073,15.52924517,NaN
72,Georgia,GEO,96.15177235,96.46672815,96.7787631,97.08309838,97.35930046,97.627094,97.87135508,98.08698951,98.26942038,98.41576303,98.52645627,98.60628075,99.7,98.70286398,98.73992793,97.55040827,98.84072631,98.92156919,99.03000745,99.16634846,99.32830525,99.51015148,100,99.84928258,100,99.98825604,100,NaN
73,Germany,DEU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
74,Ghana,GHA,NaN,NaN,NaN,6,3.807835091,6.049309223,8.30695682,10.58216862,20.9,15.16227775,17.49208196,19.91892866,22.36836114,24.1,27.37422085,29.95476643,33.84662766,35.32248776,38.2,41.03229967,44.01878361,40.9546,50.25763386,48.6,63,60.28639459,66.6,NaN
75,Gibraltar,GIB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,Greece,GRC,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
77,Greenland,GRL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
78,Grenada,GRD,81.56082916,82.03704834,82.51274872,82.98539734,83.45192719,83.90927887,84.35438538,84.78421021,85.04,85.58572388,85.95281982,86.30150604,86.6378479,86.96790314,87.29773712,87.63341522,87.98100281,88.34655762,90,89.14373016,89.57085419,88.8,90.46715546,90.93032837,91.39950562,91.87168884,92.34436798,NaN
79,Guam,GUM,NaN,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
80,Guatemala,GTM,38.74095558,40.40753987,42.09041913,43.78968553,45.4986442,40.1,48.93179832,50.64717347,52.35476039,54,56.376971,57.40903601,67.08428,66.139352,62.47568947,64.20623388,71.347002,67.78721776,69.65657954,71.58046081,73.55668047,72.113698,77.6556896,79.77326605,74.816634,84.12952703,86.36377552,NaN
81,Guinea,GIN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5,1.716666667,1.933333333,2.15,2.366666667,2.583333333,2.8,0.497716164,0.739768783,0.984152424,1.225243049,1.461581002,1.686424627,2.9,2.085811543,2.250604989,2.385447769,6.9,NaN
82,Guinea-Bissau,GNB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.817745803,2.988309352,3.158872902,3.329436451,3.5,3.625,3.75,3.875,4,NaN,NaN,NaN
83,Guyana,GUY,60.99880363,61.91304305,62.82444883,61.698284,64.62620579,65.50883313,66.37413188,67.21827325,68.03718212,68.82757091,69.58702717,70.32136053,71.03801223,71.74418864,72.44449611,75.5,69.47067239,74.58564745,75.33687176,72.3,76.90056721,77.70715234,78.52581012,79.3535997,84,81.02419963,81.86135995,NaN
84,Haiti,HTI,10.28074516,10.06636194,9.827992482,10.10117277,10.36946376,3.9,10.8773006,11.13016264,11.36347854,11.57197931,5.2,10.43546,10.10086781,10.5,8.168840869,7.168559479,11.7,5.204674394,4.27649942,3.39620344,2.56873146,1.799754345,15.2,0.459422942,NaN,NaN,NaN,NaN
85,Honduras,HND,30.25425043,28.942844,32.042222,36.343699,42.132272,43.254808,34.068518,37.959886,40.508974,41.926879,45.24794691,46.71467516,34.150908,37.11738,40.095758,42.351097,46.943208,50.448852,55.266458,59.190562,63.869036,65.757091,69.21689,75.782689,76.318906,78.313718,72.19789818,NaN
86,"Hong Kong SAR, China",HKG,100,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,Hungary,HUN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
88,Iceland,ISL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
89,India,IND,29.74335359,31.58733651,33.45549763,38.7,37.1959025,39.06134795,40.91753222,42.7613124,44.5888631,48.1,48.18162867,43.6,51.45996568,53.33330177,53.59991989,56.7675291,55.7,60.29470156,62.11010383,66,65.7,55.8,72.7,71.65504757,73.63162317,83.2,77.62869016,NaN
90,Indonesia,IDN,48.43357138,32.8,51.77331177,36.28183787,49.4,51.74194625,59.56610449,73.4,71.9166095,75.9331045,79.72486434,79.19714531,81.09192656,84.5,82.69577398,77.00007615,84.70908779,86.1,87.71966442,88.5,89.39,90.4,92.9,93.27557792,94.29,95.22907841,94.77313657,NaN
91,"Iran, Islamic Rep.",IRN,90.28542023,90.71360295,91.09990628,91.4784622,91.86087318,92.24124994,92.61336089,92.98559126,93.34102425,93.66489721,94.6,94.18927298,94.41994552,94.64173438,94.87852166,95.13274771,94.52935344,95.77122074,96.16536392,99.39,97.1475671,97.77012002,98.46714557,99.63,99.88,99.90629814,100,NaN
92,Iraq,IRQ,84.74938397,85.56972936,86.38103886,87.17668841,87.94974796,88.69261254,89.40705663,90.07085689,90.64209824,91.14297547,91.58589196,91.98190347,92.34501936,92.6885445,93.02556982,93.36925992,93.64806867,95.40676915,94.57808816,95.11430058,95.66164809,94.08756319,98.6,98.00393303,98.87765648,99.54856894,100,NaN
93,Ireland,IRL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
94,Isle of Man,IMN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
95,Israel,ISR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
96,Italy,ITA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
97,Jamaica,JAM,53.200008,68.83821674,69.78471315,70.72718714,71.66078112,72.57962873,75.913615,74.35266771,75.19594293,79.394713,76.77085302,81.818182,81.566686,78.944864,79.65415984,80.36932223,81.09903143,81.85381152,83.87304663,83.56814771,84.74888912,80.82470317,84.98002949,89.99759579,91.97694838,93.9814326,96.0068244,NaN
98,Japan,JPN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
99,Jordan,JOR,90,91.81294034,92.15947368,92.53796162,92.94044852,93.42896846,94.02065471,94.4,95.08391908,95.53693816,95.93563702,96.28339774,98.7,96.8749366,98.08535849,97.44727037,97.77427072,97.8,98.58130641,98.66859777,99.63028552,100,99.4,100,100,100,100,NaN
100,Kazakhstan,KAZ,95.55208208,95.89717003,96.23510689,96.56676592,96.88584805,99.9,97.45318152,97.69782782,97.90939981,93.9,98.23333221,98.34527752,98.43103026,98.5019347,98.56936991,98.64248808,99.65550239,98.84006003,98.97734445,100,99.33723272,99.5324089,99.75409138,99.90168447,99.97520957,100,100,NaN
101,Kenya,KEN,NaN,NaN,NaN,3.4,1.23974585,2.330503631,3.402088529,4.451751017,4.3,6.46750824,7.422763352,8.34983122,9.255231707,4.6,11.02740473,11.90867764,12.79501379,13.69326717,14.60863446,8.1,6.7,17.43544432,18.38988316,19.34442919,12.6,16,39.3,NaN
102,Kiribati,KIR,NaN,NaN,2.591360083,5.643143982,8.716682433,11.80509702,14.02795039,15.81300429,17.64235788,19.52394033,21.45934463,24.59240835,28.33917224,32.07584896,35.81271255,55.33470414,43.32297486,47.1030755,50.90820357,46.9,44.22788606,62.47647872,66.38052294,70.3053861,74.25133231,92.35,82.20165827,NaN
103,"Korea, Dem. People’s Rep.",PRK,0.01,0.028545072,0.167668208,0.64062202,1.196884632,2.979457378,4.74979353,6.504834175,8.241519928,9.956792831,11.6491127,13.32302284,14.98458576,16.63986588,18.29492378,19.95582581,21.62863159,23.31940651,25.03270149,26,28.51937103,30.28673744,32.06612015,33.85451126,35.64891434,37.44631958,39.24422455,NaN
104,"Korea, Rep.",KOR,NaN,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
